t_s,delta,counts,rpm_raw,rpm_filt
6695.100,-390,-119038,-195.00,-118.07
6695.200,209,-118829,104.50,-73.55
6695.300,-323,-119152,-161.50,-91.14
6695.400,-283,-119435,-141.50,-101.22
6695.500,44,-119391,22.00,-76.57
6695.600,-487,-119878,-243.50,-109.96
6695.700,98,-119780,49.00,-78.17
6695.800,-136,-119916,-68.00,-76.13
6695.900,-359,-120275,-179.50,-96.81
6696.000,195,-120080,97.50,-57.95
6696.100,-148,-120228,-74.00,-61.16
6696.200,-475,-120703,-237.50,-96.42
6696.300,269,-120434,134.50,-50.24
6696.400,-426,-120860,-213.00,-82.79
6696.500,-211,-121071,-105.50,-87.33
6696.600,194,-120877,97.00,-50.47
6696.700,-551,-121428,-275.50,-95.47
6696.800,52,-121376,26.00,-71.18
6696.900,-13,-121389,-6.50,-58.24
6697.000,-384,-121773,-192.00,-84.99
6697.100,20,-121753,10.00,-66.00
6697.200,-304,-122057,-152.00,-83.20
6697.300,-357,-122414,-178.50,-102.26
6697.400,10,-122404,5.00,-80.81
6697.500,-428,-122832,-214.00,-107.44
6697.600,-383,-123215,-191.50,-124.26
6697.700,148,-123067,74.00,-84.60
6697.800,-351,-123418,-175.50,-102.78
6697.900,-228,-123646,-114.00,-105.03
6698.000,-2,-123648,-1.00,-84.22
6698.100,-603,-124251,-301.50,-127.68
6698.200,-186,-124437,-93.00,-120.74
6698.300,-76,-124513,-38.00,-104.19
6698.400,-188,-124701,-94.00,-102.15
6698.500,-243,-124944,-121.50,-106.02
6698.600,159,-124785,79.50,-68.92
6698.700,-453,-125238,-226.50,-100.44
6698.800,-332,-125570,-166.00,-113.55
6698.900,-145,-125715,-72.50,-105.34
6699.000,-456,-126171,-228.00,-129.87
6699.100,24,-126147,12.00,-101.50
6699.200,-124,-126271,-62.00,-93.60
6699.300,-653,-126924,-326.50,-140.18
6699.400,132,-126792,66.00,-98.94
6699.500,-330,-127122,-165.00,-112.15
6699.600,-486,-127608,-243.00,-138.32
6699.700,87,-127521,43.50,-101.96
6699.800,-381,-127902,-190.50,-119.67
6699.900,-370,-128272,-185.00,-132.73
6700.000,255,-128017,127.50,-80.69
6700.100,-593,-128610,-296.50,-123.85
6700.200,-225,-128835,-112.50,-121.58
6700.300,292,-128543,146.00,-68.06
6700.400,-365,-128908,-182.50,-90.95
6700.500,-168,-129076,-84.00,-89.56
6700.600,109,-128967,54.50,-60.75
6700.700,-508,-129475,-254.00,-99.40
6700.800,-126,-129601,-63.00,-92.12
6700.900,-57,-129658,-28.50,-79.40
6701.000,-377,-130035,-188.50,-101.22
6701.100,43,-129992,21.50,-76.67
6701.200,-303,-130295,-151.50,-91.64
6701.300,-380,-130675,-190.00,-111.31
6701.400,-96,-130771,-48.00,-98.65
6701.500,-413,-131184,-206.50,-120.22
6701.600,-351,-131535,-175.50,-131.28
6701.700,15,-131520,7.50,-103.52
6701.800,-535,-132055,-267.50,-136.32
6701.900,-319,-132374,-159.50,-140.95
6702.000,-22,-132396,-11.00,-114.96
6702.100,-424,-132820,-212.00,-134.37
6702.200,-208,-133028,-104.00,-128.30
6702.300,115,-132913,57.50,-91.14
6702.400,-526,-133439,-263.00,-125.51
6702.500,-107,-133546,-53.50,-111.11
6702.600,-73,-133619,-36.50,-96.19
6702.700,-340,-133959,-170.00,-110.95
6702.800,128,-133831,64.00,-75.96
6702.900,-237,-134068,-118.50,-84.47
6703.000,-590,-134658,-295.00,-126.57
6703.100,16,-134642,8.00,-99.66
6703.200,-299,-134941,-149.50,-109.63
6703.300,-310,-135251,-155.00,-118.70
6703.400,323,-134928,161.50,-62.66
6703.500,-469,-135397,-234.50,-97.03
6703.600,-358,-135755,-179.00,-113.42
6703.700,214,-135541,107.00,-69.34
6703.800,-426,-135967,-213.00,-98.07
6703.900,-386,-136353,-193.00,-117.06
6704.000,257,-136096,128.50,-67.95
6704.100,-307,-136403,-153.50,-85.06
6704.200,-342,-136745,-171.00,-102.25
6704.300,287,-136458,143.50,-53.10
6704.400,-507,-136965,-253.50,-93.18
6704.500,-26,-136991,-13.00,-77.14
6704.600,-79,-137070,-39.50,-69.61
6704.700,-408,-137478,-204.00,-96.49
6704.800,-90,-137568,-45.00,-86.19
6704.900,-74,-137642,-37.00,-76.35
6705.000,-320,-137962,-160.00,-93.08
6705.100,30,-137932,15.00,-71.47
6705.200,33,-137899,16.50,-53.87
6705.300,-419,-138318,-209.50,-85.00
6705.400,-141,-138459,-70.50,-82.10
6705.500,-52,-138511,-26.00,-70.88
6705.600,-488,-138999,-244.00,-105.50
6705.700,-433,-139432,-216.50,-127.70
6705.800,7,-139425,3.50,-101.46
6705.900,-258,-139683,-129.00,-106.97
6706.000,-286,-139969,-143.00,-114.18
6706.100,140,-139829,70.00,-77.34
6706.200,-312,-140141,-156.00,-93.07
6706.300,-366,-140507,-183.00,-111.06
6706.400,70,-140437,35.00,-81.85
6706.500,-350,-140787,-175.00,-100.48
6706.600,-241,-141028,-120.50,-104.48
6706.700,2,-141026,1.00,-83.39
6706.800,-360,-141386,-180.00,-102.71
6706.900,-227,-141613,-113.50,-104.87
6707.000,-13,-141626,-6.50,-85.19
6707.100,-349,-141975,-174.50,-103.05
6707.200,-139,-142114,-69.50,-96.34
6707.300,125,-141989,62.50,-64.57
6707.400,-311,-142300,-155.50,-82.76
6707.500,22,-142278,11.00,-64.01
6707.600,144,-142134,72.00,-36.81
6707.700,-453,-142587,-226.50,-74.75
6707.800,-319,-142906,-159.50,-91.70
6707.900,15,-142891,7.50,-71.86
6708.000,-410,-143301,-205.00,-98.49
6708.100,35,-143266,17.50,-75.29
6708.200,82,-143184,41.00,-52.03
6708.300,-436,-143620,-218.00,-85.22
6708.400,-10,-143630,-5.00,-69.18
6708.500,-101,-143731,-50.50,-65.44
6708.600,-383,-144114,-191.50,-90.65
6708.700,-9,-144123,-4.50,-73.42
6708.800,-207,-144330,-103.50,-79.44
6708.900,-465,-144795,-232.50,-110.05
6709.000,-39,-144834,-19.50,-91.94
6709.100,-155,-144989,-77.50,-89.05
6709.200,-463,-145452,-231.50,-117.54
6709.300,-90,-145542,-45.00,-103.03
6709.400,-247,-145789,-123.50,-107.13
6709.500,-501,-146290,-250.50,-135.80
6709.600,-108,-146398,-54.00,-119.44
6709.700,-153,-146551,-76.50,-110.85
6709.800,-387,-146938,-193.50,-127.38
6709.900,-20,-146958,-10.00,-103.91
6710.000,-226,-147184,-113.00,-105.72
6710.100,-437,-147621,-218.50,-128.28
6710.200,-96,-147717,-48.00,-112.22
6710.300,-319,-148036,-159.50,-121.68
6710.400,-435,-148471,-217.50,-140.84
6710.500,50,-148421,25.00,-107.67
6710.600,-382,-148803,-191.00,-124.34
6710.700,-318,-149121,-159.00,-131.27
6710.800,148,-148973,74.00,-90.22
6710.900,-220,-149193,-110.00,-94.17
6711.000,-477,-149670,-238.50,-123.04
6711.100,96,-149574,48.00,-88.83
6711.200,-459,-150033,-229.50,-116.97
6711.300,-429,-150462,-214.50,-136.47
6711.400,351,-150111,175.50,-74.08
6711.500,-416,-150527,-208.00,-100.86
6711.600,-436,-150963,-218.00,-124.29
6711.700,4,-150959,2.00,-99.03
6711.800,-174,-151133,-87.00,-96.63
6711.900,-525,-151658,-262.50,-129.80
6712.000,121,-151537,60.50,-91.74
6712.100,-266,-151803,-133.00,-99.99
6712.200,-509,-152312,-254.50,-130.89
6712.300,-34,-152346,-17.00,-108.12
6712.400,-192,-152538,-96.00,-105.69
6712.500,-562,-153100,-281.00,-140.75
6712.600,119,-152981,59.50,-100.70
6712.700,-259,-153240,-129.50,-106.46
6712.800,-387,-153627,-193.50,-123.87
6712.900,282,-153345,141.00,-70.90
6713.000,-259,-153604,-129.50,-82.62
6713.100,-384,-153988,-192.00,-104.49
6713.200,133,-153855,66.50,-70.29
6713.300,-439,-154294,-219.50,-100.14
6713.400,-277,-154571,-138.50,-107.81
6713.500,0,-154571,0.00,-86.25
6713.600,-347,-154918,-173.50,-103.70
6713.700,-273,-155191,-136.50,-110.26
6713.800,244,-154947,122.00,-63.81
6713.900,-286,-155233,-143.00,-79.65
6714.000,-411,-155644,-205.50,-104.82
6714.100,287,-155357,143.50,-55.15
6714.200,-345,-155702,-172.50,-78.62
6714.300,-283,-155985,-141.50,-91.20
6714.400,6,-155979,3.00,-72.36
6714.500,-300,-156279,-150.00,-87.89
6714.600,-524,-156803,-262.00,-122.71
6714.700,35,-156768,17.50,-94.67
6714.800,-447,-157215,-223.50,-120.43
6714.900,-413,-157628,-206.50,-137.65
6715.000,14,-157614,7.00,-108.72
6715.100,-347,-157961,-173.50,-121.67
6715.200,-366,-158327,-183.00,-133.94
6715.300,-28,-158355,-14.00,-109.95
6715.400,-555,-158910,-277.50,-143.46
6715.500,-151,-159061,-75.50,-129.87
6715.600,-116,-159177,-58.00,-115.50
6715.700,-597,-159774,-298.50,-152.10
6715.800,-24,-159798,-12.00,-124.08
6715.900,-183,-159981,-91.50,-117.56
6716.000,-532,-160513,-266.00,-147.25
6716.100,-4,-160517,-2.00,-118.20
6716.200,-200,-160717,-100.00,-114.56
6716.300,-518,-161235,-259.00,-143.45
6716.400,118,-161117,59.00,-102.96
6716.500,-130,-161247,-65.00,-95.37
6716.600,-473,-161720,-236.50,-123.59
6716.700,-53,-161773,-26.50,-104.17
6716.800,-181,-161954,-90.50,-101.44
6716.900,-396,-162350,-198.00,-120.75
6717.000,-42,-162392,-21.00,-100.80
6717.100,-335,-162727,-167.50,-114.14
6717.200,-292,-163019,-146.00,-120.51
6717.300,65,-162954,32.50,-89.91
6717.400,-110,-163064,-55.00,-82.93
6717.500,-554,-163618,-277.00,-121.74
6717.600,-75,-163693,-37.50,-104.89
6717.700,-218,-163911,-109.00,-105.72
6717.800,-411,-164322,-205.50,-125.67
6717.900,0,-164322,0.00,-100.54
6718.000,-93,-164415,-46.50,-89.73
6718.100,-435,-164850,-217.50,-115.28
6718.200,91,-164759,45.50,-83.13
6718.300,-171,-164930,-85.50,-83.60
6718.400,-292,-165222,-146.00,-96.08
6718.500,203,-165019,101.50,-56.57
6718.600,-320,-165339,-160.00,-77.25
6718.700,-467,-165806,-233.50,-108.50
6718.800,0,-165806,0.00,-86.80
6718.900,-268,-166074,-134.00,-96.24
6719.000,-485,-166559,-242.50,-125.49
6719.100,212,-166347,106.00,-79.19
6719.200,-144,-166491,-72.00,-77.76
6719.300,-563,-167054,-281.50,-118.50
6719.400,224,-166830,112.00,-72.40
6719.500,-156,-166986,-78.00,-73.52
6719.600,-608,-167594,-304.00,-119.62
6719.700,162,-167432,81.00,-79.49
6719.800,-138,-167570,-69.00,-77.40
6719.900,-558,-168128,-279.00,-117.72
6720.000,-46,-168174,-23.00,-98.77
6720.100,-243,-168417,-121.50,-103.32
6720.200,-456,-168873,-228.00,-128.25
6720.300,370,-168503,185.00,-65.60
6720.400,-343,-168846,-171.50,-86.78
6720.500,-329,-169175,-164.50,-102.33
6720.600,312,-168863,156.00,-50.66
6720.700,-412,-169275,-206.00,-81.73
6720.800,-311,-169586,-155.50,-96.48
6720.900,28,-169558,14.00,-74.39
6721.000,-328,-169886,-164.00,-92.31
6721.100,-214,-170100,-107.00,-95.25
6721.200,323,-169777,161.50,-43.90
6721.300,-473,-170250,-236.50,-82.42
6721.400,-226,-170476,-113.00,-88.53
6721.500,134,-170342,67.00,-57.43
6721.600,-438,-170780,-219.00,-89.74
6721.700,-300,-171080,-150.00,-101.79
6721.800,-133,-171213,-66.50,-94.73
6721.900,-405,-171618,-202.50,-116.29
6722.000,-234,-171852,-117.00,-116.43
6722.100,521,-171331,260.50,-41.04
6722.200,-437,-171768,-218.50,-76.54
6722.300,-288,-172056,-144.00,-90.03
6722.400,466,-171590,233.00,-25.42
6722.500,-555,-172145,-277.50,-75.84
6722.600,-214,-172359,-107.00,-82.07
6722.700,79,-172280,39.50,-57.76
6722.800,-367,-172647,-183.50,-82.91
6722.900,-49,-172696,-24.50,-71.22
6723.000,221,-172475,110.50,-34.88
6723.100,-391,-172866,-195.50,-67.00
6723.200,-355,-173221,-177.50,-89.10
6723.300,407,-172814,203.50,-30.58
6723.400,-429,-173243,-214.50,-67.37
6723.500,-403,-173646,-201.50,-94.19
6723.600,169,-173477,84.50,-58.45
6723.700,-406,-173883,-203.00,-87.36
6723.800,-480,-174363,-240.00,-117.89
6723.900,-16,-174379,-8.00,-95.91
6724.000,-400,-174779,-200.00,-116.73
6724.100,-207,-174986,-103.50,-114.08
6724.200,15,-174971,7.50,-89.77
6724.300,-492,-175463,-246.00,-121.01
6724.400,-224,-175687,-112.00,-119.21
6724.500,5,-175682,2.50,-94.87
6724.600,-433,-176115,-216.50,-119.20
6724.700,-72,-176187,-36.00,-102.56
6724.800,-131,-176318,-65.50,-95.14
6724.900,-603,-176921,-301.50,-136.42
6725.000,241,-176680,120.50,-85.03
6725.100,-281,-176961,-140.50,-96.13
6725.200,-434,-177395,-217.00,-120.30
6725.300,80,-177315,40.00,-88.24
6725.400,-164,-177479,-82.00,-86.99
6725.500,-397,-177876,-198.50,-109.29
6725.600,30,-177846,15.00,-84.44
6725.700,-291,-178137,-145.50,-96.65
6725.800,-436,-178573,-218.00,-120.92
6725.900,245,-178328,122.50,-72.23
6726.000,-265,-178593,-132.50,-84.29
6726.100,-440,-179033,-220.00,-111.43
