t_ms,seg,rpm,speed_raw,curr_raw,curr_A
t_ms,seg,cmd_rpm,speed_raw,curr_raw,curr_A
10854,2,0,1120,0,0.000
10954,2,0,1120,0,0.000
11054,2,0,1120,0,0.000
11154,2,0,1120,0,0.000
11254,2,0,1120,0,0.000
11354,2,0,1120,0,0.000
11454,2,0,1120,0,0.000
11554,2,0,1120,0,0.000
11654,2,0,1120,0,0.000
11754,2,0,0,0,0.000
11854,2,0,0,0,0.000
11954,2,0,0,0,0.000
12054,2,0,0,0,0.000
12154,2,0,0,0,0.000
12254,2,0,0,0,0.000
12354,2,0,0,0,0.000
12454,2,0,0,0,0.000
12554,2,0,0,0,0.000
12654,2,0,0,0,0.000
12754,2,0,0,0,0.000
12854,2,0,0,0,0.000
12954,2,0,0,0,0.000
13054,2,0,0,0,0.000
13154,2,0,0,0,0.000
13254,2,0,0,0,0.000
13354,2,0,0,0,0.000
13454,2,0,0,0,0.000
13554,2,0,0,0,0.000
13654,2,0,0,0,0.000
13754,2,0,0,0,0.000
13854,2,0,0,0,0.000
13954,2,0,0,0,0.000
14054,3,2500,0,0,0.000
14154,3,2500,0,0,0.000
14254,3,2500,0,0,0.000
14354,3,2500,0,0,0.000
14454,3,2500,0,0,0.000
14554,3,2500,0,0,0.000
14654,3,2500,0,0,0.000
14754,3,2500,190,0,0.000
14854,3,2500,190,0,0.000
14954,3,2500,190,0,0.000
15054,3,2500,190,0,0.000
15154,3,2500,190,0,0.000
15254,3,2500,190,0,0.000
15354,3,2500,190,0,0.000
15454,3,2500,190,0,0.000
15554,3,2500,190,0,0.000
15654,3,2500,190,0,0.000
15754,3,2500,830,0,0.000
15854,3,2500,830,0,0.000
15954,3,2500,830,0,0.000
16054,3,2500,830,2,0.080
16154,3,2500,830,2,0.080
16254,3,2500,830,3,0.120
16354,3,2500,830,3,0.120
16454,3,2500,830,3,0.120
16554,3,2500,830,3,0.120
16654,3,2500,830,3,0.120
16754,3,2500,1990,3,0.120
16854,3,2500,1990,3,0.120
16954,3,2500,1990,3,0.120
17054,3,2500,1990,3,0.120
17154,3,2500,1990,3,0.120
17254,3,2500,1990,3,0.120
17354,3,2500,1990,3,0.120
17454,3,2500,1990,3,0.120
17554,3,2500,1990,3,0.120
17654,3,2500,1990,3,0.120
17754,3,2500,2510,3,0.120
17854,3,2500,2510,3,0.120
17954,3,2500,2510,3,0.120
18054,3,2500,2510,3,0.120
18154,3,2500,2510,3,0.120
18254,3,2500,2510,3,0.120
18354,3,2500,2510,3,0.120
18454,3,2500,2510,3,0.120
18554,3,2500,2510,3,0.120
18654,3,2500,2510,3,0.120
18754,3,2500,2500,3,0.120
18854,3,2500,2500,4,0.160
18954,3,2500,2500,4,0.160
19054,3,2500,2500,3,0.120
19154,3,2500,2500,3,0.120
19254,3,2500,2500,4,0.160
19354,3,2500,2500,4,0.160
19454,3,2500,2500,22,0.880
19554,3,2500,2500,22,0.880
19654,3,2500,2500,71,2.840
19754,3,2500,2490,71,2.840
19854,3,2500,2490,122,4.880
19954,3,2500,2490,122,4.880
20054,3,2500,2490,126,5.040
20154,3,2500,2490,126,5.040
20254,3,2500,2490,123,4.920
20354,3,2500,2490,123,4.920
20454,3,2500,2490,124,4.960
20554,3,2500,2490,124,4.960
20654,3,2500,2490,117,4.680
20754,3,2500,2500,117,4.680
20854,3,2500,2500,70,2.800
20954,3,2500,2500,70,2.800
21054,3,2500,2500,4,0.160
21154,3,2500,2500,4,0.160
21254,3,2500,2500,2,0.080
21354,3,2500,2500,2,0.080
21454,3,2500,2500,3,0.120
21554,3,2500,2500,3,0.120
21654,3,2500,2500,3,0.120
21754,3,2500,2600,3,0.120
21854,3,2500,2600,3,0.120
21954,3,2500,2600,3,0.120
22054,4,0,2600,3,0.120
22154,4,0,2600,3,0.120
22254,4,0,2600,0,0.000
22354,4,0,2600,0,0.000
22454,4,0,2600,0,0.000
22554,4,0,1930,0,0.000
22654,4,0,1930,0,0.000
22754,4,0,1930,0,0.000
22854,4,0,1930,0,0.000
22954,4,0,1930,0,0.000
23054,4,0,1930,0,0.000
23154,4,0,1930,0,0.000
23254,4,0,1930,0,0.000
23354,4,0,1930,0,0.000
23454,4,0,1930,0,0.000
23554,4,0,10,0,0.000
23654,4,0,10,0,0.000
23754,4,0,10,0,0.000
23854,4,0,10,0,0.000
23954,4,0,10,0,0.000
24054,4,0,10,0,0.000
24154,4,0,10,0,0.000
24254,4,0,10,0,0.000
24354,4,0,10,0,0.000
24454,4,0,10,0,0.000
24554,4,0,0,0,0.000
24654,4,0,0,0,0.000
24754,4,0,0,0,0.000
24854,4,0,0,0,0.000
24954,4,0,0,0,0.000
25054,4,0,0,0,0.000
25154,4,0,0,0,0.000
25254,4,0,0,0,0.000
25354,4,0,0,0,0.000
25454,4,0,0,0,0.000
25554,4,0,0,0,0.000
25654,4,0,0,0,0.000
25754,4,0,0,0,0.000
25854,4,0,0,0,0.000
